257,75,72,266,4,368,2400,27,94,1
290,223,284,278,2,101,4500,14,93,1
130,35,138,19,0,12,900,93,98,1
290,218,192,176,7,705,4100,58,78,1
291,187,195,146,11,247,3800,47,76,1
46,232,208,143,2,814,10300,71,93,1
55,167,46,148,3,19,2700,46,35,1
180,137,112,19,2,201,2100,92,85,1
104,208,242,34,4,52,3500,98,91,1
51,196,3,0,9,3,2900,94,97,1
222,42,146,297,2,74,1800,96,93,1
209,234,69,147,2,96,14700,93,51,1
30,222,63,210,123,171,400,58,30,1
75,270,71,38,13,177,2000,93,79,1
144,75,2,78,3,74,2700,93,97,1
35,250,247,224,2,41,1400,93,93,1
146,101,135,177,0,65,3200,86,0,1
67,188,76,160,0,203,11300,99,94,1
11,135,58,275,13,23,4300,47,97,1
193,102,67,205,148,237,4100,94,53,1
179,46,268,121,4,204,9300,73,98,1
134,124,156,143,1,12,11800,91,96,1
29,113,244,236,4,54,6800,99,99,1
76,128,88,231,2,802,4700,55,39,1
265,34,287,204,13,207,3400,92,24,1
177,201,172,11,0,399,0,37,93,1
50,146,158,239,117,192,3200,44,94,1
70,34,156,117,7,247,1600,94,51,1
178,142,190,0,0,182,1500,42,93,1
167,61,9,165,1,13,3800,91,98,1
262,213,133,88,14,288,6000,44,22,1
55,158,292,17,44,66,11000,98,50,1
75,132,210,29,1,200,9300,43,93,1
51,22,104,177,150,88,3000,98,56,1
170,165,2,0,5,0,3000,93,92,1
104,143,62,205,126,73,14400,38,91,1
3,28,48,206,1,101,9200,26,99,1
235,56,288,30,1,242,2700,17,91,1
70,65,161,248,11,326,2900,92,29,1
229,149,115,202,7,7,7900,93,93,1
142,113,76,133,0,16,10900,99,99,1
84,174,9,188,69,48,14500,94,93,1
85,70,38,291,248,109,6300,24,93,1
105,61,19,22,0,247,7600,97,10,1
232,266,13,204,188,87,6200,93,94,1
55,71,251,259,6,584,6200,4,91,1
17,28,166,62,50,51,10500,98,9,1
108,206,29,190,4,53,2600,91,97,1
22,131,53,61,0,142,2300,92,94,1
68,178,35,191,4,117,14900,15,92,1
255,98,42,162,5,195,8900,96,79,1
